model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_1_AutoML_6_20250401_12303_model_19,6263.431152132465,39230569.79750343,3596.9733734299884,3.406849322641157,39230569.79750343
XGBoost_grid_1_AutoML_6_20250401_12303_model_1,6264.313221504474,39241620.13711576,3277.167055840684,3.2336745291121263,39241620.13711576
XGBoost_grid_1_AutoML_6_20250401_12303_model_6,6265.5820933066,39257518.96796432,3491.4897783574247,3.398980742637097,39257518.96796432
XGBoost_grid_1_AutoML_6_20250401_12303_model_11,6265.650124876035,39258371.48735907,3261.242643522045,3.227789122259641,39258371.48735907
XGBoost_grid_1_AutoML_6_20250401_12303_model_5,6274.509823765635,39369473.52853146,3272.221534077291,3.225599425803096,39369473.52853146
DeepLearning_grid_2_AutoML_6_20250401_12303_model_1,6289.046915493809,39552111.1052822,3629.671916906125,3.3877498281829497,39552111.1052822
StackedEnsemble_BestOfFamily_7_AutoML_6_20250401_12303,6291.265914353327,39580026.805104,3390.2383662567318,,39580026.805104
XRT_1_AutoML_6_20250401_12303,6291.471910761477,39582618.803900674,3813.7432430693298,3.511443553325289,39582618.803900674
DeepLearning_grid_1_AutoML_6_20250401_12303_model_7,6306.908475662564,39777094.52038429,3669.868807467221,3.4052601459852903,39777094.52038429
XGBoost_grid_1_AutoML_6_20250401_12303_model_13,6356.3232867241095,40402845.72535119,3279.0002206007284,3.2151396127131373,40402845.72535119
StackedEnsemble_AllModels_2_AutoML_6_20250401_12303,6360.437499403242,40455165.183814965,3496.35091807496,3.3199040139405978,40455165.183814965
StackedEnsemble_AllModels_1_AutoML_6_20250401_12303,6392.302806039837,40861535.164104775,3465.373385970158,3.315740327391966,40861535.164104775
StackedEnsemble_BestOfFamily_5_AutoML_6_20250401_12303,6395.229156996992,40898955.97050446,3513.942444141096,3.2467667921810563,40898955.97050446
DeepLearning_grid_1_AutoML_6_20250401_12303_model_18,6420.239886581855,41219480.2012566,3627.596171654239,3.396941805908741,41219480.2012566
DeepLearning_grid_3_AutoML_6_20250401_12303_model_1,6424.797803216109,41278026.81221054,3608.126997221117,3.3517253666697826,41278026.81221054
StackedEnsemble_BestOfFamily_1_AutoML_6_20250401_12303,6431.600019538718,41365478.81133044,3613.09132735057,3.400707921788835,41365478.81133044
StackedEnsemble_BestOfFamily_2_AutoML_6_20250401_12303,6497.372162195376,42215845.014071405,3471.5655283272217,3.3110305023495656,42215845.014071405
StackedEnsemble_BestOfFamily_3_AutoML_6_20250401_12303,6591.639850834868,43449715.92311432,3600.9707669568384,3.3145149257193425,43449715.92311432
DeepLearning_grid_1_AutoML_6_20250401_12303_model_8,6957.618514324569,48408455.39087203,3859.864264580792,,48408455.39087203
