seq_length,molecular_weight,nh3_tail,po3_pos,biotinylated,acylated_n_terminal,cyclic,amidated,stearyl_uptake,hexahistidine_tagged,aromaticity,instability_index,isoelectric_point,helix_fraction,turn_fraction,sheet_fraction,molar_extinction_coefficient_reduced,molar_extinction_coefficient_oxidized,gravy,is_cpp
7.0,795.8901,0,0,0,0,0,0,0,0,0.0,90.4,11.999967765808105,0.28571428571428575,0.28571428571428575,0.14285714285714288,0.0,0.0,-1.1142857142857143,1
16.0,1716.8407000000002,0,0,0,0,0,0,0,0,0.1875,64.95000000000002,4.37037296295166,0.3125,0.4375,0.3125,1490.0,1490.0,-0.36875,0
29.0,3376.6498999999994,1,0,0,0,0,1,0,0,0.034482758620689655,15.596551724137933,5.438945960998535,0.5172413793103449,0.13793103448275862,0.3103448275862069,1490.0,1490.0,-0.5275862068965518,1
29.0,3280.9115,1,0,0,0,0,1,0,0,0.034482758620689655,120.21724137931031,7.282916450500489,0.3103448275862069,0.13793103448275862,0.5172413793103449,1490.0,1490.0,1.1275862068965516,1
23.0,2601.9658999999997,1,0,0,0,0,1,0,0,0.043478260869565216,45.073913043478264,7.282916450500489,0.3913043478260869,0.17391304347826086,0.3913043478260869,1490.0,1490.0,0.24782608695652164,1
21.0,2350.7239999999997,0,0,0,0,0,0,0,0,0.047619047619047616,48.41428571428571,7.241935539245606,0.4285714285714286,0.14285714285714285,0.4285714285714286,1490.0,1490.0,0.5904761904761904,1
29.0,3389.1418999999996,1,0,0,0,0,1,0,0,0.034482758620689655,47.01724137931035,7.282916450500489,0.5172413793103449,0.13793103448275862,0.3103448275862069,1490.0,1490.0,0.5896551724137931,1
22.0,2269.8105,0,0,0,0,0,0,1,0,0.045454545454545456,2.8636363636363638,10.176995277404785,0.6818181818181818,0.18181818181818182,0.40909090909090906,1490.0,1490.0,0.8545454545454546,1
21.0,2182.7332,0,0,0,0,0,0,0,0,0.047619047619047616,-1.5190476190476196,10.176995277404785,0.7142857142857143,0.14285714285714285,0.4285714285714286,1490.0,1490.0,0.9333333333333332,1
38.0,4033.7639,0,0,0,0,0,0,0,0,0.07894736842105264,21.73421052631579,10.637364006042482,0.4736842105263158,0.2105263157894737,0.39473684210526316,2980.0,2980.0,0.3157894736842105,1
21.0,2208.7705,0,0,0,0,0,0,0,0,0.047619047619047616,-5.109523809523809,10.176995277404785,0.6666666666666667,0.19047619047619047,0.4285714285714286,1490.0,1490.0,0.7714285714285714,1
21.0,2266.7734,0,0,0,0,0,0,0,0,0.047619047619047616,43.01428571428572,11.723011589050294,0.5714285714285715,0.14285714285714285,0.4285714285714286,1490.0,1490.0,0.8476190476190476,1
19.0,1955.473,0,0,0,0,0,0,0,0,0.052631578947368425,-2.7315789473684218,10.176995277404785,0.7894736842105263,0.10526315789473685,0.42105263157894735,1490.0,1490.0,0.9789473684210526,0
21.0,2170.6794999999997,0,0,0,0,0,0,0,0,0.047619047619047616,-4.633333333333333,10.176995277404785,0.7142857142857143,0.14285714285714285,0.4285714285714286,1490.0,1490.0,0.6857142857142856,1
23.0,2439.0778,0,0,0,0,0,0,0,0,0.043478260869565216,-0.5173913043478267,10.398444175720215,0.7391304347826086,0.13043478260869565,0.3913043478260869,1490.0,1490.0,0.5130434782608695,1
21.0,2151.6761,0,0,0,0,0,0,0,0,0.047619047619047616,6.566666666666666,10.001705741882326,0.6666666666666667,0.19047619047619047,0.4285714285714286,1490.0,1490.0,1.0428571428571427,1
26.0,3328.9150999999997,0,0,0,0,0,0,0,0,0.11538461538461539,44.073076923076925,10.450470161437984,0.42307692307692313,0.07692307692307693,0.3076923076923077,11000.0,11000.0,-1.0923076923076922,1
23.0,2841.3219,0,0,0,0,0,0,0,0,0.043478260869565216,52.208695652173915,10.450470161437984,0.4782608695652174,0.13043478260869565,0.21739130434782608,5500.0,5500.0,-1.3956521739130436,0
25.0,3092.5638,0,0,0,0,0,0,0,0,0.04,48.83200000000001,10.450534629821775,0.44,0.16,0.2,5500.0,5500.0,-1.5519999999999998,0
23.0,2899.3595,0,0,0,0,0,0,0,0,0.08695652173913043,52.208695652173915,10.295874977111815,0.43478260869565216,0.13043478260869565,0.2608695652173913,11000.0,11000.0,-1.2652173913043478,0
26.0,3308.8839999999996,0,0,0,0,0,0,0,0,0.11538461538461539,50.75769230769231,10.450470161437984,0.38461538461538464,0.15384615384615385,0.23076923076923078,11000.0,11000.0,-1.3346153846153848,1
29.0,2996.3967000000002,0,0,0,0,0,0,0,0,0.034482758620689655,18.87586206896552,4.751421546936036,0.41379310344827586,0.24137931034482757,0.3793103448275862,1490.0,1490.0,0.38275862068965516,0
7.0,833.8949999999999,0,0,0,0,0,0,0,0,0.0,93.04285714285714,9.805528450012208,0.28571428571428575,0.28571428571428575,0.14285714285714288,0.0,0.0,-1.3714285714285717,1
33.0,3411.9625,0,0,0,0,0,0,0,0,0.0,43.445454545454545,5.400579643249511,0.30303030303030304,0.30303030303030304,0.36363636363636365,0.0,125.0,0.5363636363636364,0
30.0,2997.4906,0,0,0,0,0,0,0,0,0.03333333333333333,4.766666666666667,8.63278408050537,0.4,0.2,0.43333333333333335,1490.0,1490.0,0.93,0
9.0,1063.2472,0,0,0,0,0,0,0,0,0.1111111111111111,-9.9,5.880357551574707,0.2222222222222222,0.2222222222222222,0.5555555555555556,1490.0,1490.0,1.0,1
28.0,3139.5505999999996,0,0,0,0,0,0,0,0,0.03571428571428572,54.81785714285715,4.196673011779786,0.35714285714285715,0.28571428571428575,0.39285714285714285,0.0,0.0,0.02857142857142857,0
12.0,1345.5444,0,0,0,0,0,0,0,0,0.16666666666666669,20.05833333333334,8.795051002502444,0.25,0.41666666666666674,0.33333333333333337,0.0,0.0,-0.19166666666666674,1
17.0,1965.2309,0,0,0,0,0,0,0,0,0.17647058823529413,68.58882352941177,5.473560905456543,0.17647058823529413,0.17647058823529413,0.4705882352941177,1490.0,1490.0,0.32941176470588235,0
29.0,3206.4692999999997,0,0,0,0,0,0,0,0,0.034482758620689655,23.5896551724138,4.0500284194946286,0.27586206896551724,0.27586206896551724,0.41379310344827586,1490.0,1490.0,-0.11724137931034485,0
12.0,1194.3804,0,0,0,0,0,0,0,0,0.0,21.825,6.786086845397949,0.5,0.16666666666666669,0.41666666666666674,0.0,0.0,1.3,0
8.0,814.9729,0,0,0,0,0,0,0,0,0.0,-1.8625000000000003,11.001030158996581,0.5,0.25,0.25,0.0,0.0,0.2875,0
21.0,2272.6144,0,0,0,0,0,0,0,0,0.0,11.08095238095238,4.513379859924316,0.6190476190476191,0.14285714285714285,0.3333333333333333,0.0,0.0,-0.12380952380952379,0
6.0,676.8471,0,0,0,0,0,0,0,0,0.16666666666666669,-5.816666666666667,10.003317451477052,0.8333333333333335,0.0,0.33333333333333337,0.0,0.0,0.39999999999999997,0
26.0,2577.0112999999997,0,0,0,0,0,0,0,0,0.038461538461538464,-6.711538461538463,11.263932228088382,0.3076923076923077,0.3846153846153846,0.3076923076923077,0.0,0.0,0.1769230769230769,0
9.0,1254.4955,0,0,0,0,0,0,0,0,0.0,257.44444444444446,11.999967765808105,0.3333333333333333,0.0,0.0,0.0,0.0,-3.5555555555555554,0
34.0,3731.3999000000003,0,0,0,0,0,0,0,0,0.0,79.90882352941176,10.819229316711429,0.5294117647058824,0.3235294117647059,0.05882352941176471,0.0,0.0,-1.711764705882353,1
11.0,1303.4581,0,0,0,0,0,0,0,0,0.2727272727272727,-1.0727272727272725,4.207870292663575,0.36363636363636365,0.18181818181818182,0.5454545454545454,1490.0,1490.0,0.41818181818181815,0
25.0,2592.8815999999997,0,0,0,0,0,0,0,0,0.08,86.22800000000001,4.752160453796387,0.4,0.28,0.24,6990.0,6990.0,-0.10000000000000002,0
20.0,2335.5705,0,0,0,0,0,0,0,0,0.1,28.970000000000002,4.577721595764161,0.2,0.35000000000000003,0.4,0.0,0.0,-0.47000000000000003,0
28.0,3252.9561999999996,0,0,0,0,0,0,0,0,0.14285714285714288,14.785714285714285,9.629400825500486,0.4285714285714286,0.2142857142857143,0.4642857142857143,12490.0,12490.0,0.29999999999999993,1
16.0,1799.1793000000002,0,0,0,0,0,0,0,0,0.1875,32.375,5.5691640853881825,0.25,0.125,0.6875,1490.0,1490.0,1.6125,0
